"","Name","Twitter"
"1","Mike Thompson","RepThompson"
"2","Barack Obama","whitehouse"
"3","Joseph R. Biden","whitehouse"
"4","Dianne Feinstein","SenFeinstein"
"5","Barbara Boxer","SenatorBoxer"
"6","Mike McGuire","ilike_mike"
"7","Edmund G. Brown Jr.","JerryBrownGov"
"8","Gavin Newsom","gavinnewsom"
"9","Steve Freitas","sonomasheriff"
"10","John Chiang","STONewsroom"
"11","Kamala D. Harris","CalAGHarris"
"12","Betty T. Yee","CAController"
"13","Alex Padilla","CASOSvote"
"14","Dave Jones","CDINews"
"15","Tom Torlakson","cadepted"
